Tid | Avstand | X | Y | Z | Error | Power | uP | uI | uD
80 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
81 | 295 | 15 | 3 | 1019 | -5 | 65535 | 0 | 0 | 0
82 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
83 | 296 | 15 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
84 | 296 | 15 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
85 | 295 | 16 | 3 | 1022 | -5 | 65535 | 0 | 0 | 0
86 | 296 | 16 | 3 | 1022 | -4 | 65535 | 0 | 0 | 0
87 | 296 | 16 | 3 | 1022 | -4 | 65535 | 0 | 0 | 0
88 | 297 | 16 | 4 | 1023 | -3 | 65535 | 0 | 0 | 0
89 | 299 | 15 | 4 | 1023 | -1 | 65535 | 0 | 0 | 0
90 | 299 | 15 | 5 | 1023 | -1 | 65535 | 0 | 0 | 0
91 | 299 | 15 | 5 | 1022 | -1 | 65535 | 0 | 0 | 0
92 | 298 | 15 | 5 | 1021 | -2 | 65535 | 0 | 0 | 0
93 | 294 | 14 | 5 | 1020 | -6 | 65535 | 0 | 0 | 0
94 | 296 | 14 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
95 | 296 | 14 | 6 | 1017 | -4 | 65535 | 0 | 0 | 0
96 | 296 | 14 | 6 | 1017 | -4 | 65535 | 0 | 0 | 0
97 | 296 | 14 | 5 | 1017 | -4 | 65535 | 0 | 0 | 0
98 | 296 | 14 | 5 | 1018 | -4 | 65535 | 0 | 0 | 0
99 | 296 | 16 | 5 | 1019 | -4 | 65535 | 0 | 0 | 0
100 | 296 | 16 | 5 | 1020 | -4 | 65535 | 0 | 0 | 0
101 | 296 | 17 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
102 | 296 | 18 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
103 | 296 | 18 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
104 | 296 | 18 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
105 | 295 | 17 | 4 | 1020 | -5 | 65535 | 0 | 0 | 0
106 | 296 | 17 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
107 | 296 | 17 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
108 | 296 | 17 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
109 | 296 | 17 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
110 | 296 | 17 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
111 | 296 | 17 | 5 | 1022 | -4 | 65535 | 0 | 0 | 0
112 | 295 | 17 | 5 | 1023 | -5 | 65535 | 0 | 0 | 0
113 | 296 | 17 | 4 | 1023 | -4 | 65535 | 0 | 0 | 0
114 | 296 | 17 | 3 | 1022 | -4 | 65535 | 0 | 0 | 0
115 | 296 | 17 | 2 | 1021 | -4 | 65535 | 0 | 0 | 0
116 | 295 | 17 | 2 | 1021 | -5 | 65535 | 0 | 0 | 0
117 | 295 | 17 | 2 | 1020 | -5 | 65535 | 0 | 0 | 0
118 | 296 | 16 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
119 | 296 | 15 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
120 | 296 | 14 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
121 | 296 | 14 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
122 | 296 | 14 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
123 | 296 | 14 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
124 | 296 | 14 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
125 | 296 | 14 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
126 | 296 | 14 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
127 | 296 | 14 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
128 | 297 | 15 | 3 | 1020 | -3 | 65535 | 0 | 0 | 0
129 | 299 | 15 | 3 | 1020 | -1 | 65535 | 0 | 0 | 0
130 | 300 | 15 | 3 | 1020 | 0 | 65535 | 0 | 0 | 0
131 | 299 | 15 | 3 | 1020 | -1 | 65535 | 0 | 0 | 0
132 | 299 | 15 | 3 | 1020 | -1 | 65535 | 0 | 0 | 0
133 | 299 | 15 | 4 | 1021 | -1 | 65535 | 0 | 0 | 0
134 | 300 | 15 | 4 | 1021 | 0 | 65535 | 0 | 0 | 0
135 | 300 | 15 | 4 | 1021 | 0 | 65535 | 0 | 0 | 0
136 | 297 | 15 | 4 | 1021 | -3 | 65535 | 0 | 0 | 0
137 | 296 | 16 | 3 | 1022 | -4 | 65535 | 0 | 0 | 0
138 | 297 | 16 | 3 | 1022 | -3 | 65535 | 0 | 0 | 0
139 | 297 | 16 | 3 | 1022 | -3 | 65535 | 0 | 0 | 0
140 | 296 | 16 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
141 | 296 | 16 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
142 | 297 | 17 | 3 | 1019 | -3 | 65535 | 0 | 0 | 0
143 | 296 | 18 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
144 | 296 | 18 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
145 | 296 | 18 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
146 | 296 | 17 | 3 | 1018 | -4 | 65535 | 0 | 0 | 0
147 | 297 | 17 | 3 | 1018 | -3 | 65535 | 0 | 0 | 0
148 | 296 | 17 | 4 | 1018 | -4 | 65535 | 0 | 0 | 0
149 | 296 | 17 | 4 | 1017 | -4 | 65535 | 0 | 0 | 0
150 | 297 | 17 | 5 | 1016 | -3 | 65535 | 0 | 0 | 0
151 | 297 | 17 | 5 | 1015 | -3 | 65535 | 0 | 0 | 0
152 | 296 | 17 | 5 | 1016 | -4 | 65535 | 0 | 0 | 0
153 | 296 | 17 | 5 | 1017 | -4 | 65535 | 0 | 0 | 0
154 | 296 | 16 | 5 | 1018 | -4 | 65535 | 0 | 0 | 0
155 | 296 | 16 | 5 | 1018 | -4 | 65535 | 0 | 0 | 0
156 | 296 | 15 | 6 | 1019 | -4 | 65535 | 0 | 0 | 0
157 | 296 | 15 | 6 | 1019 | -4 | 65535 | 0 | 0 | 0
158 | 296 | 15 | 6 | 1019 | -4 | 65535 | 0 | 0 | 0
159 | 296 | 15 | 6 | 1020 | -4 | 65535 | 0 | 0 | 0
160 | 296 | 15 | 6 | 1020 | -4 | 65535 | 0 | 0 | 0
161 | 296 | 15 | 6 | 1021 | -4 | 65535 | 0 | 0 | 0
162 | 296 | 16 | 5 | 1023 | -4 | 65535 | 0 | 0 | 0
163 | 296 | 17 | 5 | 1022 | -4 | 65535 | 0 | 0 | 0
164 | 299 | 18 | 4 | 1021 | -1 | 65535 | 0 | 0 | 0
165 | 299 | 18 | 4 | 1021 | -1 | 65535 | 0 | 0 | 0
166 | 300 | 18 | 3 | 1021 | 0 | 65535 | 0 | 0 | 0
167 | 299 | 17 | 2 | 1020 | -1 | 65535 | 0 | 0 | 0
168 | 296 | 16 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
