Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
640,302,12,6,1016,-2,0,0,0,0
641,302,13,6,1017,-2,0,0,0,0
642,302,13,7,1018,-2,0,0,0,0
643,302,14,8,1019,-2,0,0,0,0
644,301,14,8,1019,-1,0,0,0,0
645,301,14,8,1020,-1,0,0,0,0
646,301,14,8,1019,-1,0,0,0,0
647,302,14,8,1020,-2,0,0,0,0
648,301,14,8,1019,-1,0,0,0,0
649,302,13,8,1019,-2,0,0,0,0
650,302,12,8,1019,-2,0,0,0,0
651,302,12,8,1019,-2,0,0,0,0
652,302,12,8,1019,-2,0,0,0,0
653,302,12,9,1019,-2,0,0,0,0
654,302,13,9,1019,-2,0,0,0,0
655,302,13,8,1019,-2,0,0,0,0
656,301,13,7,1020,-1,0,0,0,0
657,302,13,7,1020,-2,0,0,0,0
658,302,13,7,1024,-2,0,0,0,0
659,302,12,7,1022,-2,0,0,0,0
660,301,13,8,1021,-1,0,0,0,0
661,302,13,8,1021,-2,0,0,0,0
662,302,13,8,1020,-2,0,0,0,0
663,302,13,8,1019,-2,0,0,0,0
664,301,13,9,1019,-1,0,0,0,0
665,302,13,9,1018,-2,0,0,0,0
666,302,12,8,1017,-2,0,0,0,0
667,302,12,8,1018,-2,0,0,0,0
668,301,12,8,1018,-1,0,0,0,0
669,301,12,7,1018,-1,0,0,0,0
670,302,11,6,1018,-2,0,0,0,0
671,302,11,6,1018,-2,0,0,0,0
672,302,11,7,1018,-2,0,0,0,0
673,302,11,7,1018,-2,0,0,0,0
674,302,12,7,1019,-2,0,0,0,0
675,302,13,7,1019,-2,0,0,0,0
676,302,13,7,1019,-2,0,0,0,0
677,302,14,7,1019,-2,0,0,0,0
678,302,14,6,1019,-2,0,0,0,0
679,302,14,5,1019,-2,0,0,0,0
680,302,14,5,1019,-2,0,0,0,0
681,301,14,5,1017,-1,0,0,0,0
682,302,14,5,1016,-2,0,0,0,0
683,302,13,5,1016,-2,0,0,0,0
684,301,12,5,1016,-1,0,0,0,0
685,302,12,5,1016,-2,0,0,0,0
686,302,12,5,1016,-2,0,0,0,0
687,302,13,5,1016,-2,0,0,0,0
688,302,13,5,1017,-2,0,0,0,0
689,301,13,5,1017,-1,0,0,0,0
690,302,13,5,1017,-2,0,0,0,0
691,302,14,5,1017,-2,0,0,0,0
692,302,15,5,1017,-2,0,0,0,0
693,301,15,5,1018,-1,0,0,0,0
694,303,15,4,1019,-3,0,0,0,0
695,302,14,4,1019,-2,0,0,0,0
696,302,13,4,1019,-2,0,0,0,0
697,302,13,5,1018,-2,0,0,0,0
698,303,13,6,1019,-3,0,0,0,0
699,304,13,6,1019,-4,0,0,0,0
700,302,13,6,1020,-2,0,0,0,0
701,302,14,6,1020,-2,0,0,0,0
702,299,15,7,1020,1,0,0,0,0
703,290,15,7,1018,10,20110,20000,110,0
704,293,15,9,1018,7,14280,14000,280,0
705,292,24,-51,933,8,16430,16000,430,0
706,287,13,-93,859,13,26640,26000,640,0
707,278,20,-99,881,22,44990,44000,990,0
708,280,25,-32,905,20,41410,40000,1410,0
709,279,17,63,870,21,43820,42000,1820,0
710,275,14,40,853,25,52280,50000,2280,0
711,265,12,36,859,35,65535,4464,2880,0
712,270,9,84,844,30,63530,60000,3530,0
713,267,9,94,905,33,65535,464,4160,0
714,264,0,85,993,36,65535,6464,4850,0
715,252,16,86,1101,48,65535,30464,5690,0
716,254,16,156,1145,46,65535,26464,6630,0
717,254,45,136,1146,46,65535,26464,7550,0
718,252,15,111,1106,48,65535,30464,8490,0
719,248,2,70,1090,52,65535,38464,9490,0
720,249,19,59,1097,51,65535,36464,10520,0
721,249,19,0,1046,51,65535,36464,11540,0
722,252,29,-5,1000,48,65535,30464,12530,0
723,254,94,75,1056,46,65535,26464,13470,0
724,254,116,121,1026,46,65535,26464,14390,0
725,254,149,138,1106,46,65535,26464,15310,0
726,259,143,112,1221,41,65535,16464,16180,0
727,263,81,32,1182,37,65535,8464,16960,0
728,262,46,62,1137,38,65535,10464,17710,0
729,262,30,1,1208,38,65535,10464,18470,0
730,272,46,-47,1250,28,65535,56000,19130,0
731,274,36,-95,1176,26,65535,52000,19670,0
732,274,56,1,1059,26,65535,52000,20190,0
733,274,85,20,883,26,65535,52000,20710,0
734,281,91,-14,854,19,59160,38000,21160,0
